utt_id,orig_utt_id,spk_id,path,condition,gender,is_known,num_selected_utts,num_total_valid_utts
BAC009S0251W0316_noise10,BAC009S0251W0316,S0251,augmented/noise_snr10/S0251/BAC009S0251W0316_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0316_ch8k,BAC009S0251W0316,S0251,augmented/channel_8k/S0251/BAC009S0251W0316_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0203_noise10,BAC009S0251W0203,S0251,augmented/noise_snr10/S0251/BAC009S0251W0203_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0203_ch8k,BAC009S0251W0203,S0251,augmented/channel_8k/S0251/BAC009S0251W0203_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0468_noise10,BAC009S0251W0468,S0251,augmented/noise_snr10/S0251/BAC009S0251W0468_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0468_ch8k,BAC009S0251W0468,S0251,augmented/channel_8k/S0251/BAC009S0251W0468_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0143_noise10,BAC009S0251W0143,S0251,augmented/noise_snr10/S0251/BAC009S0251W0143_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0143_ch8k,BAC009S0251W0143,S0251,augmented/channel_8k/S0251/BAC009S0251W0143_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0240_noise10,BAC009S0251W0240,S0251,augmented/noise_snr10/S0251/BAC009S0251W0240_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0240_ch8k,BAC009S0251W0240,S0251,augmented/channel_8k/S0251/BAC009S0251W0240_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0191_noise10,BAC009S0251W0191,S0251,augmented/noise_snr10/S0251/BAC009S0251W0191_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0191_ch8k,BAC009S0251W0191,S0251,augmented/channel_8k/S0251/BAC009S0251W0191_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0222_noise10,BAC009S0251W0222,S0251,augmented/noise_snr10/S0251/BAC009S0251W0222_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0222_ch8k,BAC009S0251W0222,S0251,augmented/channel_8k/S0251/BAC009S0251W0222_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0182_noise10,BAC009S0251W0182,S0251,augmented/noise_snr10/S0251/BAC009S0251W0182_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0182_ch8k,BAC009S0251W0182,S0251,augmented/channel_8k/S0251/BAC009S0251W0182_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0470_noise10,BAC009S0251W0470,S0251,augmented/noise_snr10/S0251/BAC009S0251W0470_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0470_ch8k,BAC009S0251W0470,S0251,augmented/channel_8k/S0251/BAC009S0251W0470_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0464_noise10,BAC009S0251W0464,S0251,augmented/noise_snr10/S0251/BAC009S0251W0464_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0464_ch8k,BAC009S0251W0464,S0251,augmented/channel_8k/S0251/BAC009S0251W0464_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0154_noise10,BAC009S0251W0154,S0251,augmented/noise_snr10/S0251/BAC009S0251W0154_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0154_ch8k,BAC009S0251W0154,S0251,augmented/channel_8k/S0251/BAC009S0251W0154_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0239_noise10,BAC009S0251W0239,S0251,augmented/noise_snr10/S0251/BAC009S0251W0239_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0239_ch8k,BAC009S0251W0239,S0251,augmented/channel_8k/S0251/BAC009S0251W0239_ch8k.wav,channel_8k,0,1,24,322
BAC009S0096W0157_noise10,BAC009S0096W0157,S0096,augmented/noise_snr10/S0096/BAC009S0096W0157_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0157_ch8k,BAC009S0096W0157,S0096,augmented/channel_8k/S0096/BAC009S0096W0157_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0308_noise10,BAC009S0096W0308,S0096,augmented/noise_snr10/S0096/BAC009S0096W0308_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0308_ch8k,BAC009S0096W0308,S0096,augmented/channel_8k/S0096/BAC009S0096W0308_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0361_noise10,BAC009S0096W0361,S0096,augmented/noise_snr10/S0096/BAC009S0096W0361_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0361_ch8k,BAC009S0096W0361,S0096,augmented/channel_8k/S0096/BAC009S0096W0361_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0165_noise10,BAC009S0096W0165,S0096,augmented/noise_snr10/S0096/BAC009S0096W0165_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0165_ch8k,BAC009S0096W0165,S0096,augmented/channel_8k/S0096/BAC009S0096W0165_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0490_noise10,BAC009S0096W0490,S0096,augmented/noise_snr10/S0096/BAC009S0096W0490_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0490_ch8k,BAC009S0096W0490,S0096,augmented/channel_8k/S0096/BAC009S0096W0490_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0195_noise10,BAC009S0096W0195,S0096,augmented/noise_snr10/S0096/BAC009S0096W0195_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0195_ch8k,BAC009S0096W0195,S0096,augmented/channel_8k/S0096/BAC009S0096W0195_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0280_noise10,BAC009S0096W0280,S0096,augmented/noise_snr10/S0096/BAC009S0096W0280_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0280_ch8k,BAC009S0096W0280,S0096,augmented/channel_8k/S0096/BAC009S0096W0280_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0260_noise10,BAC009S0096W0260,S0096,augmented/noise_snr10/S0096/BAC009S0096W0260_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0260_ch8k,BAC009S0096W0260,S0096,augmented/channel_8k/S0096/BAC009S0096W0260_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0303_noise10,BAC009S0096W0303,S0096,augmented/noise_snr10/S0096/BAC009S0096W0303_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0303_ch8k,BAC009S0096W0303,S0096,augmented/channel_8k/S0096/BAC009S0096W0303_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0352_noise10,BAC009S0096W0352,S0096,augmented/noise_snr10/S0096/BAC009S0096W0352_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0352_ch8k,BAC009S0096W0352,S0096,augmented/channel_8k/S0096/BAC009S0096W0352_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0143_noise10,BAC009S0096W0143,S0096,augmented/noise_snr10/S0096/BAC009S0096W0143_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0143_ch8k,BAC009S0096W0143,S0096,augmented/channel_8k/S0096/BAC009S0096W0143_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0427_noise10,BAC009S0096W0427,S0096,augmented/noise_snr10/S0096/BAC009S0096W0427_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0427_ch8k,BAC009S0096W0427,S0096,augmented/channel_8k/S0096/BAC009S0096W0427_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0464_noise10,BAC009S0096W0464,S0096,augmented/noise_snr10/S0096/BAC009S0096W0464_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0464_ch8k,BAC009S0096W0464,S0096,augmented/channel_8k/S0096/BAC009S0096W0464_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0183_noise10,BAC009S0096W0183,S0096,augmented/noise_snr10/S0096/BAC009S0096W0183_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0183_ch8k,BAC009S0096W0183,S0096,augmented/channel_8k/S0096/BAC009S0096W0183_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0384_noise10,BAC009S0096W0384,S0096,augmented/noise_snr10/S0096/BAC009S0096W0384_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0384_ch8k,BAC009S0096W0384,S0096,augmented/channel_8k/S0096/BAC009S0096W0384_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0172_noise10,BAC009S0096W0172,S0096,augmented/noise_snr10/S0096/BAC009S0096W0172_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0172_ch8k,BAC009S0096W0172,S0096,augmented/channel_8k/S0096/BAC009S0096W0172_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0251_noise10,BAC009S0096W0251,S0096,augmented/noise_snr10/S0096/BAC009S0096W0251_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0251_ch8k,BAC009S0096W0251,S0096,augmented/channel_8k/S0096/BAC009S0096W0251_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0190_noise10,BAC009S0096W0190,S0096,augmented/noise_snr10/S0096/BAC009S0096W0190_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0190_ch8k,BAC009S0096W0190,S0096,augmented/channel_8k/S0096/BAC009S0096W0190_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0329_noise10,BAC009S0096W0329,S0096,augmented/noise_snr10/S0096/BAC009S0096W0329_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0329_ch8k,BAC009S0096W0329,S0096,augmented/channel_8k/S0096/BAC009S0096W0329_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0474_noise10,BAC009S0096W0474,S0096,augmented/noise_snr10/S0096/BAC009S0096W0474_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0474_ch8k,BAC009S0096W0474,S0096,augmented/channel_8k/S0096/BAC009S0096W0474_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0264_noise10,BAC009S0096W0264,S0096,augmented/noise_snr10/S0096/BAC009S0096W0264_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0264_ch8k,BAC009S0096W0264,S0096,augmented/channel_8k/S0096/BAC009S0096W0264_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0313_noise10,BAC009S0096W0313,S0096,augmented/noise_snr10/S0096/BAC009S0096W0313_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0313_ch8k,BAC009S0096W0313,S0096,augmented/channel_8k/S0096/BAC009S0096W0313_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0216_noise10,BAC009S0096W0216,S0096,augmented/noise_snr10/S0096/BAC009S0096W0216_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0216_ch8k,BAC009S0096W0216,S0096,augmented/channel_8k/S0096/BAC009S0096W0216_ch8k.wav,channel_8k,0,1,24,338
BAC009S0096W0218_noise10,BAC009S0096W0218,S0096,augmented/noise_snr10/S0096/BAC009S0096W0218_noise10.wav,noise_snr10,0,1,24,338
BAC009S0096W0218_ch8k,BAC009S0096W0218,S0096,augmented/channel_8k/S0096/BAC009S0096W0218_ch8k.wav,channel_8k,0,1,24,338
BAC009S0160W0279_noise10,BAC009S0160W0279,S0160,augmented/noise_snr10/S0160/BAC009S0160W0279_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0279_ch8k,BAC009S0160W0279,S0160,augmented/channel_8k/S0160/BAC009S0160W0279_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0134_noise10,BAC009S0160W0134,S0160,augmented/noise_snr10/S0160/BAC009S0160W0134_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0134_ch8k,BAC009S0160W0134,S0160,augmented/channel_8k/S0160/BAC009S0160W0134_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0166_noise10,BAC009S0160W0166,S0160,augmented/noise_snr10/S0160/BAC009S0160W0166_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0166_ch8k,BAC009S0160W0166,S0160,augmented/channel_8k/S0160/BAC009S0160W0166_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0485_noise10,BAC009S0160W0485,S0160,augmented/noise_snr10/S0160/BAC009S0160W0485_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0485_ch8k,BAC009S0160W0485,S0160,augmented/channel_8k/S0160/BAC009S0160W0485_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0194_noise10,BAC009S0160W0194,S0160,augmented/noise_snr10/S0160/BAC009S0160W0194_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0194_ch8k,BAC009S0160W0194,S0160,augmented/channel_8k/S0160/BAC009S0160W0194_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0451_noise10,BAC009S0160W0451,S0160,augmented/noise_snr10/S0160/BAC009S0160W0451_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0451_ch8k,BAC009S0160W0451,S0160,augmented/channel_8k/S0160/BAC009S0160W0451_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0325_noise10,BAC009S0160W0325,S0160,augmented/noise_snr10/S0160/BAC009S0160W0325_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0325_ch8k,BAC009S0160W0325,S0160,augmented/channel_8k/S0160/BAC009S0160W0325_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0413_noise10,BAC009S0160W0413,S0160,augmented/noise_snr10/S0160/BAC009S0160W0413_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0413_ch8k,BAC009S0160W0413,S0160,augmented/channel_8k/S0160/BAC009S0160W0413_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0297_noise10,BAC009S0160W0297,S0160,augmented/noise_snr10/S0160/BAC009S0160W0297_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0297_ch8k,BAC009S0160W0297,S0160,augmented/channel_8k/S0160/BAC009S0160W0297_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0197_noise10,BAC009S0160W0197,S0160,augmented/noise_snr10/S0160/BAC009S0160W0197_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0197_ch8k,BAC009S0160W0197,S0160,augmented/channel_8k/S0160/BAC009S0160W0197_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0354_noise10,BAC009S0160W0354,S0160,augmented/noise_snr10/S0160/BAC009S0160W0354_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0354_ch8k,BAC009S0160W0354,S0160,augmented/channel_8k/S0160/BAC009S0160W0354_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0494_noise10,BAC009S0160W0494,S0160,augmented/noise_snr10/S0160/BAC009S0160W0494_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0494_ch8k,BAC009S0160W0494,S0160,augmented/channel_8k/S0160/BAC009S0160W0494_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0174_noise10,BAC009S0160W0174,S0160,augmented/noise_snr10/S0160/BAC009S0160W0174_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0174_ch8k,BAC009S0160W0174,S0160,augmented/channel_8k/S0160/BAC009S0160W0174_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0343_noise10,BAC009S0160W0343,S0160,augmented/noise_snr10/S0160/BAC009S0160W0343_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0343_ch8k,BAC009S0160W0343,S0160,augmented/channel_8k/S0160/BAC009S0160W0343_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0314_noise10,BAC009S0160W0314,S0160,augmented/noise_snr10/S0160/BAC009S0160W0314_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0314_ch8k,BAC009S0160W0314,S0160,augmented/channel_8k/S0160/BAC009S0160W0314_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0122_noise10,BAC009S0160W0122,S0160,augmented/noise_snr10/S0160/BAC009S0160W0122_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0122_ch8k,BAC009S0160W0122,S0160,augmented/channel_8k/S0160/BAC009S0160W0122_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0375_noise10,BAC009S0160W0375,S0160,augmented/noise_snr10/S0160/BAC009S0160W0375_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0375_ch8k,BAC009S0160W0375,S0160,augmented/channel_8k/S0160/BAC009S0160W0375_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0249_noise10,BAC009S0160W0249,S0160,augmented/noise_snr10/S0160/BAC009S0160W0249_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0249_ch8k,BAC009S0160W0249,S0160,augmented/channel_8k/S0160/BAC009S0160W0249_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0448_noise10,BAC009S0160W0448,S0160,augmented/noise_snr10/S0160/BAC009S0160W0448_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0448_ch8k,BAC009S0160W0448,S0160,augmented/channel_8k/S0160/BAC009S0160W0448_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0205_noise10,BAC009S0160W0205,S0160,augmented/noise_snr10/S0160/BAC009S0160W0205_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0205_ch8k,BAC009S0160W0205,S0160,augmented/channel_8k/S0160/BAC009S0160W0205_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0271_noise10,BAC009S0160W0271,S0160,augmented/noise_snr10/S0160/BAC009S0160W0271_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0271_ch8k,BAC009S0160W0271,S0160,augmented/channel_8k/S0160/BAC009S0160W0271_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0404_noise10,BAC009S0160W0404,S0160,augmented/noise_snr10/S0160/BAC009S0160W0404_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0404_ch8k,BAC009S0160W0404,S0160,augmented/channel_8k/S0160/BAC009S0160W0404_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0155_noise10,BAC009S0160W0155,S0160,augmented/noise_snr10/S0160/BAC009S0160W0155_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0155_ch8k,BAC009S0160W0155,S0160,augmented/channel_8k/S0160/BAC009S0160W0155_ch8k.wav,channel_8k,1,1,24,353
BAC009S0160W0260_noise10,BAC009S0160W0260,S0160,augmented/noise_snr10/S0160/BAC009S0160W0260_noise10.wav,noise_snr10,1,1,24,353
BAC009S0160W0260_ch8k,BAC009S0160W0260,S0160,augmented/channel_8k/S0160/BAC009S0160W0260_ch8k.wav,channel_8k,1,1,24,353
BAC009S0166W0435_noise10,BAC009S0166W0435,S0166,augmented/noise_snr10/S0166/BAC009S0166W0435_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0435_ch8k,BAC009S0166W0435,S0166,augmented/channel_8k/S0166/BAC009S0166W0435_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0377_noise10,BAC009S0166W0377,S0166,augmented/noise_snr10/S0166/BAC009S0166W0377_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0377_ch8k,BAC009S0166W0377,S0166,augmented/channel_8k/S0166/BAC009S0166W0377_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0413_noise10,BAC009S0166W0413,S0166,augmented/noise_snr10/S0166/BAC009S0166W0413_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0413_ch8k,BAC009S0166W0413,S0166,augmented/channel_8k/S0166/BAC009S0166W0413_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0209_noise10,BAC009S0166W0209,S0166,augmented/noise_snr10/S0166/BAC009S0166W0209_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0209_ch8k,BAC009S0166W0209,S0166,augmented/channel_8k/S0166/BAC009S0166W0209_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0230_noise10,BAC009S0166W0230,S0166,augmented/noise_snr10/S0166/BAC009S0166W0230_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0230_ch8k,BAC009S0166W0230,S0166,augmented/channel_8k/S0166/BAC009S0166W0230_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0336_noise10,BAC009S0166W0336,S0166,augmented/noise_snr10/S0166/BAC009S0166W0336_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0336_ch8k,BAC009S0166W0336,S0166,augmented/channel_8k/S0166/BAC009S0166W0336_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0315_noise10,BAC009S0166W0315,S0166,augmented/noise_snr10/S0166/BAC009S0166W0315_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0315_ch8k,BAC009S0166W0315,S0166,augmented/channel_8k/S0166/BAC009S0166W0315_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0260_noise10,BAC009S0166W0260,S0166,augmented/noise_snr10/S0166/BAC009S0166W0260_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0260_ch8k,BAC009S0166W0260,S0166,augmented/channel_8k/S0166/BAC009S0166W0260_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0174_noise10,BAC009S0166W0174,S0166,augmented/noise_snr10/S0166/BAC009S0166W0174_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0174_ch8k,BAC009S0166W0174,S0166,augmented/channel_8k/S0166/BAC009S0166W0174_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0466_noise10,BAC009S0166W0466,S0166,augmented/noise_snr10/S0166/BAC009S0166W0466_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0466_ch8k,BAC009S0166W0466,S0166,augmented/channel_8k/S0166/BAC009S0166W0466_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0318_noise10,BAC009S0166W0318,S0166,augmented/noise_snr10/S0166/BAC009S0166W0318_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0318_ch8k,BAC009S0166W0318,S0166,augmented/channel_8k/S0166/BAC009S0166W0318_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0323_noise10,BAC009S0166W0323,S0166,augmented/noise_snr10/S0166/BAC009S0166W0323_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0323_ch8k,BAC009S0166W0323,S0166,augmented/channel_8k/S0166/BAC009S0166W0323_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0193_noise10,BAC009S0166W0193,S0166,augmented/noise_snr10/S0166/BAC009S0166W0193_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0193_ch8k,BAC009S0166W0193,S0166,augmented/channel_8k/S0166/BAC009S0166W0193_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0409_noise10,BAC009S0166W0409,S0166,augmented/noise_snr10/S0166/BAC009S0166W0409_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0409_ch8k,BAC009S0166W0409,S0166,augmented/channel_8k/S0166/BAC009S0166W0409_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0342_noise10,BAC009S0166W0342,S0166,augmented/noise_snr10/S0166/BAC009S0166W0342_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0342_ch8k,BAC009S0166W0342,S0166,augmented/channel_8k/S0166/BAC009S0166W0342_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0381_noise10,BAC009S0166W0381,S0166,augmented/noise_snr10/S0166/BAC009S0166W0381_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0381_ch8k,BAC009S0166W0381,S0166,augmented/channel_8k/S0166/BAC009S0166W0381_ch8k.wav,channel_8k,1,1,24,350
BAC009S0166W0240_noise10,BAC009S0166W0240,S0166,augmented/noise_snr10/S0166/BAC009S0166W0240_noise10.wav,noise_snr10,1,1,24,350
BAC009S0166W0240_ch8k,BAC009S0166W0240,S0166,augmented/channel_8k/S0166/BAC009S0166W0240_ch8k.wav,channel_8k,1,1,24,350
